time_s,deco_stop,o2,depth_m,temp_c,avg_ppo2,tts_min,ndl_min,he
10,0,21,0.0,24.0,0.22,0,99,0
20,0,21,3.0,24.0,0.27,1,99,0
30,0,21,2.3,24.0,0.26,1,99,0
40,0,21,2.1,24.0,0.25,1,99,0
50,0,21,1.9,24.0,0.25,1,99,0
60,0,21,2.2,24.0,0.26,1,99,0
70,0,21,2.3,24.0,0.26,1,99,0
80,0,21,2.9,24.0,0.27,1,99,0
90,0,21,2.7,24.0,0.26,1,99,0
100,0,21,2.2,24.0,0.26,1,99,0
110,0,21,2.4,24.0,0.26,1,99,0
120,0,21,3.0,24.0,0.27,1,99,0
130,0,21,2.7,24.0,0.27,1,99,0
140,0,21,2.5,24.0,0.26,1,99,0
150,0,21,2.2,24.0,0.26,1,99,0
160,0,21,2.7,24.0,0.27,1,99,0
170,0,21,2.6,24.0,0.26,1,99,0
180,0,21,2.8,24.0,0.27,1,99,0
190,0,21,2.6,24.0,0.26,1,99,0
200,0,21,0.0,24.0,0.22,1,99,0
210,0,21,0.0,24.0,0.21,0,99,0
220,0,21,0.0,24.0,0.21,0,99,0
230,0,21,0.0,24.0,0.22,0,99,0
240,0,21,0.0,24.0,0.21,0,99,0
250,0,21,0.0,24.0,0.22,0,99,0
